SW1# show ip interface brief 
Interface              IP-Address      OK? Method Status                 Protocol
Vlan1                  unassigned      YES manual up                     up 
Vlan10                 10.10.10.1      YES manual up                     up 
Vlan99                 10.99.99.1      YES manual up                     up 
GigabitEthernet0/0     unassigned      YES unset  down                   down 
GigabitEthernet1/0/1   unassigned      YES unset  down                   down 
GigabitEthernet1/0/2   unassigned      YES unset  up                     up 
GigabitEthernet1/0/3   unassigned      YES unset  up                     up 
GigabitEthernet1/0/4   unassigned      YES unset  down                   down 
GigabitEthernet1/0/5   unassigned      YES unset  down                   down 
GigabitEthernet1/0/6   unassigned      YES unset  down                   down 
GigabitEthernet1/0/7   unassigned      YES unset  up                     up 
GigabitEthernet1/0/8   unassigned      YES unset  up                     up 
GigabitEthernet1/0/9   unassigned      YES unset  up                     up 
GigabitEthernet1/0/10  unassigned      YES unset  down                   down 
GigabitEthernet1/0/11  unassigned      YES unset  down                   down 
GigabitEthernet1/0/12  unassigned      YES unset  down                   down 
GigabitEthernet1/0/13  unassigned      YES unset  up                     up 
GigabitEthernet1/0/14  10.20.20.1      YES manual up                     up 
GigabitEthernet1/0/15  unassigned      YES unset  up                     up 
GigabitEthernet1/0/16  unassigned      YES unset  up                     up 
GigabitEthernet1/0/17  unassigned      YES unset  down                   down
